generation,mean_fitness,mean_evaluation_count
0,5.0,80.0
1,10.0,160.0
2,14.8,240.0
3,19.4,320.0
4,23.3,400.0
5,27.9,480.0
6,32.2,560.0
7,36.0,640.0
8,40.0,720.0
9,44.4,800.0
10,48.3,880.0
11,52.9,960.0
12,56.8,1040.0
13,60.9,1120.0
14,65.3,1200.0
15,69.5,1280.0
16,73.8,1360.0
17,78.4,1440.0
18,83.0,1520.0
19,87.0,1600.0
20,91.5,1680.0
21,95.7,1760.0
22,99.9,1840.0
23,104.6,1920.0
24,108.0,2000.0
25,111.6,2080.0
26,115.2,2160.0
27,119.2,2240.0
28,123.4,2320.0
29,126.9,2400.0
30,131.1,2480.0
31,134.8,2560.0
32,138.6,2640.0
33,142.5,2720.0
34,146.4,2800.0
35,150.6,2880.0
36,154.7,2960.0
37,158.8,3040.0
38,162.1,3120.0
39,165.3,3200.0
40,169.0,3280.0
41,172.6,3360.0
42,176.1,3440.0
43,179.2,3520.0
44,183.1,3600.0
45,185.6,3680.0
46,189.7,3760.0
47,192.8,3840.0
48,196.3,3920.0
49,199.7,4000.0
50,203.5,4080.0
51,206.5,4160.0
52,209.2,4240.0
53,212.8,4320.0
54,215.4,4400.0
55,219.3,4480.0
56,223.6,4560.0
57,227.0,4640.0
58,229.0,4720.0
59,231.7,4800.0
60,233.9,4880.0
61,236.9,4960.0
62,240.6,5040.0
63,242.9,5120.0
64,245.8,5200.0
65,249.1,5280.0
66,251.3,5360.0
67,254.1,5440.0
68,257.3,5520.0
69,260.2,5600.0
70,264.0,5680.0
71,267.0,5760.0
72,269.5,5840.0
73,271.2,5920.0
74,272.4,6000.0
75,275.4,6080.0
76,278.7,6160.0
77,281.5,6240.0
78,283.7,6320.0
79,286.2,6400.0
80,289.0,6480.0
81,291.5,6560.0
82,293.5,6640.0
83,296.3,6720.0
84,298.8,6800.0
85,301.5,6880.0
86,304.0,6960.0
87,306.9,7040.0
88,309.2,7120.0
89,311.2,7200.0
90,314.1,7280.0
91,316.2,7360.0
92,319.7,7440.0
93,321.7,7520.0
94,324.1,7600.0
95,326.3,7680.0
96,329.3,7760.0
97,331.3,7840.0
98,334.3,7920.0
99,336.8,8000.0
100,337.9,8080.0
101,339.2,8160.0
102,340.9,8240.0
103,342.7,8320.0
104,345.1,8400.0
105,346.7,8480.0
106,348.2,8560.0
107,350.3,8640.0
108,351.9,8720.0
109,353.4,8800.0
110,355.4,8880.0
111,357.2,8960.0
112,357.9,9040.0
113,360.3,9120.0
114,362.7,9200.0
115,364.6,9280.0
